Major_School,GPA,GRE_Stats,Application Cycle,Status_Date,Status,University
"Chemistry, Stanford University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Accepted on 25 Jan,Accept, Stanford University
"Chemistry, University Of Missouri",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 22 Jan,Accept, University Of Missouri
"Chemistry, Florida State University (FSU)",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 16 Dec,Accept, Florida State University (FSU)
"Chemistry, Texas A&M University - College Station (TAMU)",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 10 Dec,Accept, Texas A&M University - College Station (TAMU)
"Chemistry, Carnegie Mellon University",3.8,GRE 169; GRE V 164; GRE AW 4.50,Fall 2021,Accepted on 22 Dec,Accept, Carnegie Mellon University
"Chemistry, Northwestern University",4.0,GRE 165; GRE V 163,Fall 2021,Accepted on 22 Jan,Accept, Northwestern University
"Chemistry, University Of Virginia",3.83,GRE 163; GRE V 163; GRE AW 5.50,Fall 2021,Accepted on 21 Jan,Accept, University Of Virginia
"Chemistry, University Of Wisconsin-Madison",3.83,GRE 168; GRE V 167,Fall 2021,Rejected on 20 Jan,Reject, University Of Wisconsin-Madison
"Chemistry, Vanderbilt University",3.37,GRE 152; GRE V 164; GRE AW 5.00,Fall 2021,Rejected on 8 Jan,Reject, Vanderbilt University
"Chemistry, University Of Illinois, Chicago (UIC)",3.37,GRE 152; GRE V 164; GRE AW 5.00,Fall 2021,Accepted on 21 Jan,Accept, University Of Illinois
"Chemistry, University Of Pennsylvania",3.95,GRE 165; GRE V 166; GRE AW 5.50,Fall 2021,Accepted on 20 Jan,Accept, University Of Pennsylvania
"Chemistry, Harvard University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 19 Jan,Accept, Harvard University
"Chemistry, Princeton University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 19 Jan,Accept, Princeton University
"Chemistry, University Of Wisconsin-Madison",3.75,GRE 162; GRE V 158; GRE AW 5.00,Fall 2021,Accepted on 17 Jan,Accept, University Of Wisconsin-Madison
"Medicinal Chemistry, Purdue University West Lafayette",3.35,GRE 158; GRE V 156; GRE AW 4.50,Fall 2021,Accepted on 15 Dec,Accept, Purdue University West Lafayette
"Biochemistry, Florida State University (FSU)",3.55,GRE 305; GRE V 146; GRE AW 99.99,Fall 2021,Accepted on 8 Jan,Accept, Florida State University (FSU)
"Chemistry, University Of California, Berkeley",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 15 Jan,Accept, University Of California
"Chemistry, SUNY Stony Brook",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 8 Jan,Accept, SUNY Stony Brook
"Chemistry, University Of Pennsylvania",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Other,Reject, University Of Pennsylvania
"Chemistry, Columbia University",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, Columbia University",4.0,GRE 165; GRE V 163,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, Columbia University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, University Of Virginia",3.71,GRE 160; GRE V 167; GRE AW 4.00,Fall 2021,Accepted on 13 Jan,Accept, University Of Virginia
"Chemistry, Massachusetts Institute Of Technology (MIT)",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 12 Jan,Accept, Massachusetts Institute Of Technology (MIT)
"Chemistry, University Of California, San Diego",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 10 Jan,Accept, University Of California
"Chemistry, University Of Toronto",3.93,GRE 157; GRE V 165; GRE AW 5.00,Fall 2021,Wait listed,Waitlist, University Of Toronto
"Biochemistry, Molecular, Cellular And Developmental Biology, University Of California, Davis",3.2,GRE 157; GRE V 160; GRE AW 5.50,Fall 2021,Rejected on 7 Jan,Reject, Molecular
"Chemistry, Stanford University",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 7 Jan,Accept, Stanford University
"Chemistry, University Of California, Berkeley",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Accepted on 6 Jan,Accept, University Of California
"Chemistry, University Of California, Berkeley",3.98,GRE 169; GRE V 158,Fall 2021,Accepted on 5 Jan,Accept, University Of California
"Chemistry, Boston College",3.82,GRE 164; GRE V 161; GRE AW 3.00,Fall 2021,Accepted on 5 Jan,Accept, Boston College
