,GRE_Q_V,Status,GPA,GRE_AW
760,,Rejected,,
761,,Interview,,
762,,Accepted,3.97,
763,,Accepted,4.00,
764,,Accepted,4.00,
765,,Wait,3.50,
766,,Rejected,3.90,
767,,Interview,3.50,
768,,Accepted,,
769,,Interview,3.50,
770,,Interview,3.50,
771,,Accepted,3.70,
772,,Accepted,3.70,
773,,Rejected,,
774,,Rejected,3.80,
775,,Rejected,3.18,
776,330.0,Interview,3.95,4.5
777,,Accepted,,
778,,Interview,,
779,,Accepted,3.97,
780,,Interview,,
781,,Accepted,4.00,
782,,Rejected,,
783,,Rejected,3.96,
784,,Rejected,3.90,
785,,Interview,,
786,,Rejected,3.95,
787,,Rejected,3.95,
788,,Interview,3.95,
789,,Wait,,
790,,Interview,,
791,322.0,Accepted,4.00,3.5
792,,Rejected,3.80,
793,,Interview,3.50,
794,,Rejected,,
795,,Interview,3.50,
796,,Rejected,,
797,,Accepted,3.50,
798,,Rejected,,
799,,Interview,,
800,,Accepted,3.70,
801,,Interview,4.00,
802,,Rejected,3.38,
803,,Accepted,,
804,,Interview,,
805,,Rejected,,
806,,Interview,4.00,
807,,Interview,,
808,,Interview,,
809,,Rejected,,
810,305.0,Interview,3.60,4.0
811,,Accepted,,
812,,Wait,,
813,,Accepted,3.97,
814,,Interview,4.00,
815,,Accepted,3.75,
816,,Accepted,3.50,
817,,Rejected,3.91,
818,,Interview,3.90,
819,,Accepted,3.90,
820,,Interview,,
821,326.0,Accepted,3.81,4.0
822,,Interview,,
823,,Accepted,4.00,
824,,Accepted,,
825,,Interview,4.00,
826,,Accepted,,
827,,Rejected,,
828,,Accepted,3.82,
829,,Accepted,3.70,
830,,Interview,,
831,,Interview,,
832,,Interview,,
833,,Accepted,,
834,,Accepted,3.90,
835,,Rejected,,
836,,Rejected,3.60,
837,,Accepted,,
838,325.0,Accepted,3.60,4.5
839,,Accepted,,
840,,Accepted,,
841,,Accepted,3.96,
842,,Rejected,,
843,,Interview,3.90,
844,,Accepted,3.90,
845,,Accepted,4.00,
846,,Rejected,,
847,,Interview,3.99,
848,,Accepted,4.00,
849,,Rejected,,
850,,Accepted,,
851,,Interview,,
852,,Rejected,3.97,
853,,Rejected,3.91,
854,,Accepted,,
855,,Rejected,3.74,
856,,Wait,3.81,
857,,Accepted,,
858,,Rejected,3.90,
859,,Rejected,4.00,
860,325.0,Accepted,3.95,5.0
861,,Wait,,
862,,Accepted,,
863,,Accepted,3.03,
864,,Accepted,,
865,,Accepted,3.03,
866,,Accepted,3.03,
867,333.0,Accepted,3.70,
868,333.0,Accepted,3.70,
869,,Interview,3.43,
870,333.0,Interview,3.70,
871,,Rejected,,
872,,Rejected,,
873,,Accepted,9.99,
874,,Rejected,,
875,,Interview,,
876,,Accepted,3.86,
877,,Accepted,3.95,
878,,Rejected,3.81,
879,,Accepted,3.80,
880,,Accepted,3.86,
881,,Rejected,,
882,327.0,Accepted,3.88,3.0
883,,Accepted,3.99,
884,,Interview,3.91,
885,,Rejected,3.67,
886,,Interview,,
887,,Accepted,,
888,,Accepted,3.93,
889,,Accepted,,
890,,Rejected,3.80,
891,,Rejected,4.00,
892,,Accepted,9.99,
893,,Interview,3.88,
894,,Interview,3.79,
895,,Interview,3.87,
896,,Rejected,,
897,,Interview,3.79,
898,,Interview,4.00,
899,,Rejected,,
900,,Rejected,,
901,,Interview,,
902,,Interview,,
903,,Interview,,
904,,Rejected,3.95,
905,,Accepted,,
906,,Rejected,3.95,
907,,Rejected,3.95,
908,,Accepted,3.40,
909,317.0,Accepted,,3.5
910,,Interview,,
911,,Interview,3.67,
912,,Accepted,3.81,
913,,Rejected,,
914,,Rejected,,
915,,Rejected,,
916,,Interview,,
917,,Wait,3.64,
918,,Accepted,3.70,
919,,Accepted,,
920,,Rejected,,
921,,Rejected,3.48,
922,,Rejected,,
923,,Rejected,3.48,
924,,Accepted,,
925,,Rejected,3.76,
926,,Accepted,3.70,
