,School Name,School Loc,Acc Rate,Rej Rate,Int Rate,School City,State
44,Gardner-Webb University,"Boiling Springs, NC",0.3199152542372881,0.5699152542372882,0.00847457627118644,Boiling Springs, NC
45,George Mason University,"Fairfax, VA",0.3973650658733532,0.4793880152996175,0.02804929876753081,Fairfax, VA
46,George Washington University,"Washington, DC",0.4584615384615385,0.3071794871794872,0.14717948717948717,Washington, DC
47,Georgetown University,"Washington, DC",0.352044352044352,0.2841302841302841,0.015708015708015707,Washington, DC
48,Georgia Institute of Technology,"Atlanta, GA",0.3042783799201369,0.16691386195094124,0.35573302909298343,Atlanta, GA
49,Harvard University,"Cambridge, MA",0.43660046635040606,0.36013508080726864,0.049851250301519656,Cambridge, MA
50,Hofstra University,"Hempstead, NY",0.44132397191574724,0.40521564694082246,0.011033099297893681,Hempstead, NY
51,Howard University,"Washington, DC",0.3728813559322034,0.24915254237288137,0.30677966101694915,Washington, DC
52,Illinois Institute of Technology,"Chicago, IL",0.40451248992747785,0.46011281224818695,0.033037872683319904,Chicago, IL
53,Illinois State University,"Normal, IL",0.362208067940552,0.3639065817409766,0.0059447983014862,Normal, IL
54,Immaculata University,"Immaculata, PA",0.37251356238698013,0.3996383363471971,0.009041591320072333,Immaculata, PA
55,Indiana University--Bloomington,"Bloomington, IN",0.43768672641912076,0.333119931711481,0.16303883909517713,Bloomington, IN
56,Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",0.36893203883495146,0.5339805825242718,0.0,Indianapolis, IN
57,Iowa State University,"Ames, IA",0.4106035889070147,0.4201468189233279,0.011827079934747145,Ames, IA
58,Johns Hopkins University,"Baltimore, MD",0.232602801626751,0.23644374152733846,0.2887483054676909,Baltimore, MD
59,Kansas State University,"Manhattan, KS",0.39815762538382804,0.503582395087001,0.012282497441146366,Manhattan, KS
60,Kent State University,"Kent, OH",0.5002788622420524,0.3675404350250976,0.046848856664807585,Kent, OH
61,Lehigh University,"Bethlehem, PA",0.43416370106761565,0.2911032028469751,0.14555160142348755,Bethlehem, PA
62,Lesley University,"Cambridge, MA",0.4747292418772563,0.42057761732851984,0.0036101083032490976,Cambridge, MA
63,Lipscomb University,"Nashville, TN",0.21105527638190955,0.07035175879396985,0.628140703517588,Nashville, TN
64,Louisiana State University--Baton Rouge,"Baton Rouge, LA",0.4143646408839779,0.4558011049723757,0.011049723756906077,Baton Rouge, LA
65,Louisiana Tech University,"Ruston, LA",0.4037685060565276,0.5006729475100942,0.020188425302826378,Ruston, LA
66,Loyola University Chicago,"Chicago, IL",0.4194831013916501,0.40556660039761433,0.018886679920477135,Chicago, IL
67,Marquette University,"Milwaukee, WI",0.43826714801444044,0.20649819494584837,0.29891696750902524,Milwaukee, WI
68,Maryville University of St. Louis,"St Louis, MO",0.46296296296296297,0.42592592592592593,0.018518518518518517,St Louis, MO
69,Massachusetts Institute of Technology,"Cambridge, MA",0.41166270631301777,0.30017339926786973,0.07083681202234923,Cambridge, MA
70,Mercer University,"Macon, GA",0.40086830680173663,0.4833574529667149,0.020260492040520984,Macon, GA
71,Miami University--Oxford,"Oxford, OH",0.41360841102955764,0.368577663162071,0.015473120412616545,Oxford, OH
72,Michigan State University,"East Lansing, MI",0.4287006876583424,0.4201954397394137,0.05510314875135722,East Lansing, MI
73,Michigan Technological University,"Houghton, MI",0.41684981684981687,0.4586080586080586,0.0315018315018315,Houghton, MI
74,Mississippi State University,"Mississippi State, MS",0.6216216216216216,0.21081081081081082,0.005405405405405406,Mississippi State, MS
75,Missouri University of Science & Technology,"Rolla, MO",0.4264069264069264,0.45454545454545453,0.017316017316017316,Rolla, MO
76,Montana State University,"Bozeman, MT",0.4634146341463415,0.3039857227840571,0.16240333135038668,Bozeman, MT
77,Montclair State University,"Montclair, NJ",0.4508670520231214,0.3132947976878613,0.003468208092485549,Montclair, NJ
78,New Jersey Institute of Technology,"Newark, NJ",0.3924731182795699,0.4435483870967742,0.013440860215053764,Newark, NJ
79,New Mexico State University,"Las Cruces, NM",0.34497206703910616,0.5656424581005587,0.009776536312849162,Las Cruces, NM
80,New School,"New York, NY",0.4016804245283019,0.41170400943396224,0.011202830188679245,New York, NY
81,New York University,"New York, NY",0.3577442725670648,0.2716532863390118,0.014098296455844919,New York, NY
82,North Carolina State University--Raleigh,"Raleigh, NC",0.3964348481044439,0.40974140095405476,0.012051217675119257,Raleigh, NC
83,North Dakota State University,"Fargo, ND",0.44635193133047213,0.3776824034334764,0.07725321888412018,Fargo, ND
84,Northeastern University,"Boston, MA",0.4116777531411678,0.36314363143631434,0.057649667405764965,Boston, MA
85,Northern Illinois University,"DeKalb, IL",0.37347130761994357,0.5446848541862653,0.007525870178739417,DeKalb, IL
86,Northwestern University,"Evanston, IL",0.3719598416289593,0.2665441176470588,0.01965497737556561,Evanston, IL
87,Nova Southeastern University,"Ft. Lauderdale, FL",0.44076923076923075,0.48384615384615387,0.01,Ft. Lauderdale, FL
88,Ohio State University--Columbus,"Columbus, OH",0.4384057971014493,0.3442028985507246,0.06521739130434782,Columbus, OH
89,Ohio University,"Athens, OH",0.4457627118644068,0.3338983050847458,0.15028248587570622,Athens, OH
90,Oklahoma State University,"Stillwater, OK",0.3407960199004975,0.43781094527363185,0.004975124378109453,Stillwater, OK
91,Old Dominion University,"Norfolk, VA",0.38276553106212424,0.4729458917835671,0.008016032064128256,Norfolk, VA
92,Oregon State University,"Corvallis, OR",0.4683598794662075,0.39474817046922084,0.045200172191132156,Corvallis, OR
